epoch,accuracy,loss,macro_f1,val_accuracy,val_loss,val_macro_f1,learning_rate
1,0.7881700396537781,0.6421921849250793,0.1858813613653183,0.7727586030960083,0.6280592679977417,0.12241671234369278,0.0010000000474974513
2,0.8173752427101135,0.5262933969497681,0.2497919350862503,0.8255172371864319,0.4827132523059845,0.3021050989627838,0.0010000000474974513
3,0.8340850472450256,0.4816994369029999,0.27714455127716064,0.8217241168022156,0.48998287320137024,0.30664071440696716,0.0010000000474974513
4,0.8405914902687073,0.4551383852958679,0.29011204838752747,0.813103437423706,0.5515550374984741,0.3355332911014557,0.0010000000474974513
5,0.8450646996498108,0.4376482665538788,0.29865142703056335,0.767241358757019,0.6054966449737549,0.3312380015850067,0.0010000000474974513
6,0.851497232913971,0.4258044958114624,0.3071736991405487,0.8234483003616333,0.5282697081565857,0.2772238850593567,0.0010000000474974513
7,0.8659150004386902,0.3880017101764679,0.3246675729751587,0.8703448176383972,0.395732581615448,0.3846023380756378,0.0005000000237487257
8,0.8668391704559326,0.37927237153053284,0.32715973258018494,0.8562068939208984,0.42151257395744324,0.35126712918281555,0.0005000000237487257
9,0.8717190623283386,0.37386542558670044,0.3320845067501068,0.8427585959434509,0.43572601675987244,0.3098480701446533,0.0005000000237487257
10,0.8778558373451233,0.35101011395454407,0.33950361609458923,0.8693103194236755,0.38851654529571533,0.371954083442688,0.0002500000118743628
11,0.8785582184791565,0.34556058049201965,0.34067413210868835,0.8724138140678406,0.37151679396629333,0.37730905413627625,0.0002500000118743628
12,0.8829574584960938,0.33234941959381104,0.3456609845161438,0.8758620619773865,0.36736223101615906,0.38917744159698486,0.0001250000059371814
13,0.8853974342346191,0.32883861660957336,0.34821271896362305,0.8782758712768555,0.36503881216049194,0.38863375782966614,0.0001250000059371814
14,0.8863955736160278,0.3244777321815491,0.3490811288356781,0.8668965697288513,0.3785647749900818,0.36151039600372314,0.0001250000059371814
15,0.8891682028770447,0.3185511827468872,0.3516082763671875,0.8806896805763245,0.35617098212242126,0.3877166509628296,6.25000029685907e-05
16,0.8889464139938354,0.31902188062667847,0.36409279704093933,0.8813793063163757,0.3548935055732727,0.39331215620040894,6.25000029685907e-05
17,0.8899445533752441,0.31552067399024963,0.3528653383255005,0.8748275637626648,0.36133161187171936,0.38143500685691833,6.25000029685907e-05
18,0.8915342092514038,0.3120514452457428,0.37817564606666565,0.8824138045310974,0.35454732179641724,0.389533132314682,6.25000029685907e-05
19,0.891755998134613,0.31074947118759155,0.36740416288375854,0.880344808101654,0.35828933119773865,0.39462003111839294,3.125000148429535e-05
20,0.8927911520004272,0.3092719316482544,0.3679673373699188,0.8834483027458191,0.351859450340271,0.391188383102417,3.125000148429535e-05
21,0.8918299674987793,0.3078595995903015,0.354957640171051,0.880344808101654,0.3561275601387024,0.3846661150455475,3.125000148429535e-05
22,0.892717182636261,0.3081308603286743,0.3555852174758911,0.8831034302711487,0.3496401309967041,0.3931806683540344,1.5625000742147677e-05
23,0.8925693035125732,0.30504339933395386,0.3556191921234131,0.8799999952316284,0.352281391620636,0.38777780532836914,1.5625000742147677e-05
24,0.8927911520004272,0.3059043288230896,0.3557833731174469,0.8831034302711487,0.34914660453796387,0.3932751417160034,7.812500371073838e-06
25,0.8934935331344604,0.30375322699546814,0.3690633177757263,0.8824138045310974,0.3481799066066742,0.3925503194332123,7.812500371073838e-06
26,0.8930498957633972,0.30241724848747253,0.36846402287483215,0.8841379284858704,0.34896108508110046,0.39312493801116943,3.906250185536919e-06
