epoch,accuracy,loss,macro_f1,val_accuracy,val_loss,val_macro_f1
1,0.5507375001907349,1.8795922994613647,0.1489941477775573,0.6455172300338745,1.437549710273743,0.2277223914861679
2,0.6427119374275208,1.3946396112442017,0.2097194492816925,0.6662068963050842,1.2696363925933838,0.2343239486217498
3,0.675390899181366,1.2195229530334473,0.2451851069927215,0.6817241311073303,1.2637981176376345,0.2759140729904175
4,0.6955749988555908,1.1343103647232056,0.2672407627105713,0.7044827342033386,1.130967140197754,0.3185278177261352
5,0.7088832259178162,1.0547869205474854,0.298513114452362,0.7193103432655334,1.090578556060791,0.327348530292511
6,0.719234049320221,1.004281520843506,0.319370836019516,0.723793089389801,1.136897087097168,0.3339823782444
7,0.7308417558670044,0.9672711491584778,0.3374752700328827,0.732758641242981,1.034587025642395,0.379093199968338
8,0.7383460998535156,0.9217768907546996,0.3595608174800873,0.723793089389801,1.060279369354248,0.3501447737216949
9,0.7445195913314819,0.8822439908981323,0.3701755702495575,0.7272413969039917,1.0675551891326904,0.3743042945861816
10,0.7538353204727173,0.8482940196990967,0.3983185291290283,0.7420689463615417,1.000515103340149,0.398125559091568
11,0.758234441280365,0.8186376690864563,0.4217272102832794,0.7420689463615417,0.9979295134544371,0.4432015120983124
12,0.7686222195625305,0.7746515870094299,0.4456892907619476,0.7503448128700256,1.0349310636520386,0.4089477658271789
13,0.768548309803009,0.7727911472320557,0.4482364058494568,0.7444827556610107,1.0475608110427856,0.4207832515239715
14,0.7719123363494873,0.7697871327400208,0.4519186615943908,0.752413809299469,0.9676905870437622,0.4109465479850769
15,0.7801190614700317,0.7116405367851257,0.4753636717796325,0.7579310536384583,0.9964871406555176,0.4367963969707489
