id,image_path,articleType,baseColour,gender,usage,subCategory
1163,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1163.jpg,Tshirts,Blue,Men,Sports,Topwear
1164,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1164.jpg,Tshirts,Blue,Men,Sports,Topwear
1165,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1165.jpg,Tshirts,Blue,Men,Sports,Topwear
1525,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1525.jpg,Backpacks,Navy Blue,Unisex,Casual,Bags
1526,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1526.jpg,Backpacks,Black,Unisex,Sports,Bags
1528,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1528.jpg,Jackets,Black,Men,Sports,Topwear
1529,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1529.jpg,Tshirts,Red,Men,Casual,Topwear
1531,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1531.jpg,Tshirts,Grey,Men,Casual,Topwear
1532,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1532.jpg,Tshirts,Grey,Men,Casual,Topwear
1533,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1533.jpg,Tshirts,Red,Men,Casual,Topwear
1534,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1534.jpg,Tshirts,Black,Men,Casual,Topwear
1536,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1536.jpg,Tshirts,Black,Men,Sports,Topwear
1537,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1537.jpg,Tshirts,Red,Men,Sports,Topwear
1538,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1538.jpg,Tshirts,Blue,Men,Casual,Topwear
1539,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1539.jpg,Tshirts,Grey,Men,Casual,Topwear
1540,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1540.jpg,Tshirts,Blue,Men,Casual,Topwear
1543,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1543.jpg,Casual Shoes,Black,Men,Casual,Shoes
1545,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1545.jpg,Casual Shoes,White,Men,Casual,Shoes
1546,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1546.jpg,Casual Shoes,White,Men,Casual,Shoes
1547,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1547.jpg,Casual Shoes,Black,Men,Casual,Shoes
1548,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1548.jpg,Sports Shoes,White,Men,Sports,Shoes
1550,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1550.jpg,Footballs,White,Unisex,Sports,Sports Equipment
1551,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1551.jpg,Footballs,Orange,Unisex,Sports,Sports Equipment
1553,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1553.jpg,Footballs,White,Unisex,Sports,Sports Equipment
1555,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1555.jpg,Water Bottle,Purple,Unisex,Sports,Water Bottle
1556,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1556.jpg,Backpacks,Black,Unisex,Sports,Bags
1557,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1557.jpg,Backpacks,Black,Unisex,Travel,Bags
1558,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1558.jpg,Water Bottle,Blue,Unisex,Sports,Water Bottle
1559,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1559.jpg,Backpacks,Blue,Unisex,Travel,Bags
1561,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1561.jpg,Tshirts,White,Women,Sports,Topwear
1563,/mnt/d/khoile/programs/fashion-intelligence-classification/dataset/train/images_train/1563.jpg,Tshirts,Blue,Men,Sports,Topwear
